"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","","","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-14 14:47:25.0"
"","VISCODE","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-14 14:47:25.0"
"","VISCODE2","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-14 14:47:25.0"
"","EXAMDATE","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-14 14:47:25.0"
"","VID","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Visit number from sample tube","-4","-4","-4","-4","-4","-4","-4","-4","","","This is not visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-14 14:47:25.0"
"","PLA","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Count of pristine Plasma aliquots","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-14 14:47:25.0"
"","PLAVOL","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Volume of pristine Plasma aliquots","-4","-4","-4","-4","-4","-4","-4","-4","mL","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-14 14:47:25.0"
"","SER","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Count of pristine Serum aliquots","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-14 14:47:25.0"
"","SERVOL","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Volume of pristine Serum aliquots","-4","-4","-4","-4","-4","-4","-4","-4","mL","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-14 14:47:25.0"
"","CSF","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Count of pristine CSF aliquots","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-14 14:47:25.0"
