"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"-4","RID","MRI_INFARCTS","MRI Infarcts","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","","ADNI code","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-06-19 12:51:31.0"
"-4","VISCODE","MRI_INFARCTS","MRI Infarcts","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","","ADNI code","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-06-19 12:51:31.0"
"-4","VISCODE2","MRI_INFARCTS","MRI Infarcts","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-06-19 12:51:31.0"
"-4","USERDATE","MRI_INFARCTS","MRI Infarcts","-4","Date record created","-4","-4","-4","-4","-4","-4","-4","-4","","MM/DD/YYYY","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-06-19 12:51:31.0"
"-4","EXAMDATE","MRI_INFARCTS","MRI Infarcts","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","","MM/DD/YYYY","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-06-19 12:51:31.0"
"-4","STROKE.READ.DATE","MRI_INFARCTS","MRI Infarcts","-4","Date Image Evaluated","-4","-4","-4","-4","-4","-4","-4","-4","","MM/DD/YYYY","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-06-19 12:51:31.0"
"-4","SIDE","MRI_INFARCTS","MRI Infarcts","-4","Side of Infarct, if detected","-4","-4","-4","-4","-4","-4","-4","-4","Text","R/L or -","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-06-19 12:51:31.0"
"-4","SIZE","MRI_INFARCTS","MRI Infarcts","-4","Size of Infarct, if detected","-4","-4","-4","-4","-4","-4","-4","-4","Text","Small/Large or -","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-06-19 12:51:31.0"
"-4","INFARCT.NUMBER","MRI_INFARCTS","MRI Infarcts","-4","Number detected","-4","-4","-4","-4","-4","-4","-4","-4","integer","0-100","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-06-19 12:51:31.0"
"-4","BRAIN.REGION","MRI_INFARCTS","MRI Infarcts","-4","Anatomical Location","-4","-4","-4","-4","-4","-4","-4","-4","integer","1=Head of the Caudate; 2=Body of the Caudate; 3=Tail of the Caudate; 4=Putamen; 5=Globus Pallidus; 6=Anterior Internal Capsule; 7=Posterior Internal Capsule; 8=Genu of the Internal Capsule; 9=Thalamus; 10=Hippocampus; 11=Amygdaloid Complex; 12=Splenium of the Corpus Callosum; 13=Genu of the Corpus Callosum; 14=Body of the Corpus Callosum; 15=Pons; 16=Medulla; 17=Frontal Cortex; 18=Temporal Cortex; 19=Parietal Cortex;  20=Occipital Cortex;  21=Frontal Subcortical White Matter; 22=Temporal Subcortical White Matter; 23=Parietal Subcortical White Matter; 24=Occipital Subcortical White Matter;  25=Frontal Horn Periventricular White Matter; 26=Occipital Horn Periventricular White Matter; 27=Cerebellum","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-06-19 12:51:31.0"
"-4","STROKE.TYPE","MRI_INFARCTS","MRI Infarcts","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-06-19 12:51:31.0"
"-4","LOCATION.XYZ","MRI_INFARCTS","MRI Infarcts","-4","Image Space Location","-4","-4","-4","-4","-4","-4","-4","-4","Text","Image X coordinates-Image Y-coordinates, slice Z","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-06-19 12:51:31.0"
