"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"-4","RID","DTIROI","DTI ROI summary measures","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-10-03 13:48:30.0"
"-4","VISCODE","DTIROI","DTI ROI summary measures","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-10-03 13:48:30.0"
"-4","VISCODE2","DTIROI","DTI ROI summary measures","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-10-03 13:48:30.0"
"-4","EXAMDATE","DTIROI","DTI ROI summary measures","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-10-03 13:48:30.0"
"-4","VERSION","DTIROI","DTI ROI summary measures","-4","Version","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-10-03 13:48:30.0"
"-4","VISNAME","DTIROI","DTI ROI summary measures","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-10-03 13:48:30.0"
"-4","VISITNO","DTIROI","DTI ROI summary measures","-4","Visit","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-10-03 13:48:30.0"
"-4","LONIUID_1","DTIROI","DTI ROI summary measures","-4","LONI Image ID for FA","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-10-03 13:48:30.0"
"-4","LONIUID_2","DTIROI","DTI ROI summary measures","-4","LONI Image ID for MD","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-10-03 13:48:30.0"
"-4","LONIUID_3","DTIROI","DTI ROI summary measures","-4","LONI Image ID for RD","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-10-03 13:48:30.0"
"-4","LONIUID_4","DTIROI","DTI ROI summary measures","-4","LONI Image ID for AD","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-10-03 13:48:30.0"
