"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"-4","RID","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","","","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-04-17 09:48:51.0"
"-4","VID","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Visit number from sample tube","-4","-4","-4","-4","-4","-4","-4","-4","","","This is not visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-04-17 09:48:51.0"
"-4","PLA","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Count of pristine Plasma aliquots","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-04-17 09:48:51.0"
"-4","PLAVOL","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Volume of pristine Plasma aliquots","-4","-4","-4","-4","-4","-4","-4","-4","mL","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-04-17 09:48:51.0"
"-4","SER","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Count of pristine Serum aliquots","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-04-17 09:48:51.0"
"-4","SERVOL","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Volume of pristine Serum aliquots","-4","-4","-4","-4","-4","-4","-4","-4","mL","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-04-17 09:48:51.0"
"-4","CSF","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Count of pristine CSF aliquots","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-04-17 09:48:51.0"
"-4","CSFVOL","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Volume of pristine CSF aliquots","-4","-4","-4","-4","-4","-4","-4","-4","mL","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-04-17 09:48:51.0"
"-4","URN","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Count of pristine Urine aliquots","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-04-17 09:48:51.0"
"-4","URNVOL","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Volume of pristine Urine aliquots","-4","-4","-4","-4","-4","-4","-4","-4","mL","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-04-17 09:48:51.0"
